,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
109,[H]/C(=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-69.78912,417.5632,154.3896,193.17528,229.4924,260.95608,310.91304,348.15064,406.09904,1,9,2.197224577
110,[H]/C(=C(/C([H])([H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-107.168976,434.75944,180.07936,226.3544,268.15256,303.67472,359.48928,401.0364,465.97208,1,81,4.394449155
111,[H]C([H])=C([H])/C([H])=C(\[H])C([H])=C([H])[H],164.903992,323.67424,113.72112,148.15544,177.27608,199.91152,231.29152,252.00232,282.29448,1,2,0.693147181
112,[H]/C(=C(/[H])C([H])(/C([H])=C(\[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],15.150264,439.69656,169.95408,209.95312,246.81416,278.73808,329.6992,367.94096,427.73032,1,27,3.295836866
113,[H]C([H])=C([H])C([H])([H])C([H])=C([H])[H],106.403304,326.5612,101.62936,125.1016,146.60736,165.10064,194.30496,216.14544,250.53792,1,2,0.693147181
114,[H]C([H])([H])C([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-251.784752,467.64568,236.89808,301.248,358.44328,406.894,482.6244,538.52264,625.00592,1,19683,9.887510598
115,[H]C([H])=C=C([H])C([H])([H])C([H])([H])C([H])([H])[H],117.620608,369.238,124.22296,154.51512,181.66928,204.68128,240.9984,268.11072,310.53648,1,3,1.098612289
116,[H]C([H])=C([H])[C@]([H])(C([H])([H])[H])[C@@]([H])(C([H])=C([H])[H])C([H])([H])[H],27.831968,421.45432,186.52272,229.4924,265.09824,294.63728,341.16336,376.30896,432.12352,1,18,2.890371758
117,[H]/C(=C(\[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-57.086496,364.51008,131.46128,167.7784,200.49728,227.86064,269.74248,300.32752,348.02512,1,27,3.295836866
118,[H]C#CC(=C([H])[H])C([H])=C(C([H])([H])[H])C([H])([H])[H],295.310904,401.74768,153.92936,188.02896,217.48432,242.2536,281.20664,310.2436,355.68184,1,9,2.197224577
119,[H]C#C[C@@](C([H])=C([H])[H])(/C([H])=C(\[H])C([H])([H])[H])C([H])([H])[H],295.356928,445.596,181.25088,222.33776,257.23232,286.14376,330.99624,364.2172,416.34984,1,9,2.197224577
120,[H]C([H])([H])C#CC#CC([H])([H])[H],369.610376,335.5568,106.85936,127.10992,145.35216,161.25136,187.06664,206.56408,236.93992,1,18,2.890371758
121,[H]C#C[C@]([H])(/C([H])=C(\[H])C([H])([H])[H])C([H])([H])[H],216.936216,391.204,143.13464,175.22592,202.924,226.18704,262.83888,290.28592,333.54848,1,9,2.197224577
122,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-172.251096,308.48632,123.80456,157.06736,186.3972,211.04096,249.74296,278.8636,325.01312,1,972,6.879355804
123,[H]C([H])=C([H])C([H])([H])/C([H])=C(\[H])C([H])([H])[H],74.609088,367.81544,125.52,153.3436,179.53544,202.33824,238.86456,266.35344,309.44864,1,3,1.098612289
124,[H]C([H])=C([H])C([H])(C([H])=C([H])[H])/C([H])=C(\[H])C([H])([H])[H],155.356104,429.4876,161.54424,198.99104,232.58856,261.16528,306.18512,339.65712,391.99896,1,3,1.098612289
125,[H]C([H])([H])C([H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-284.725384,507.81208,260.91424,331.07992,393.296,445.88888,528.39736,589.7348,685.46472,1,6561,8.788898309
126,[H]/C(=C(/[H])C([H])([H])C([H])([H])/C([H])=C(\[H])C([H])([H])[H])C([H])([H])[H],22.083152,441.2028,172.42264,211.12464,247.35808,279.03096,329.82472,368.06648,427.89768,1,18,2.890371758
127,[H]C#C/C([H])=C(/[H])C([H])=C([H])[H],356.275968,324.21816,106.2736,133.59512,156.2724,174.2636,200.12072,217.52616,243.00672,1,1,0
128,[H]C([H])=C([H])C(C([H])=C([H])[H])=C(C([H])([H])[H])C([H])([H])[H],125.733384,404.25808,160.07984,201.54328,236.93992,265.64216,309.36496,341.66544,392.6684,1,18,2.890371758
129,[H]C([H])=C(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],-77.713616,415.13648,152.67416,193.59368,230.58024,262.08576,311.66616,348.5272,406.09904,1,9,2.197224577
130,[H]C([H])=C([H])/C([H])=C([H])/C([H])=C(\[H])C([H])([H])[H],131.850392,365.13768,136.94232,175.81168,209.66024,236.77256,275.68376,302.16848,341.28888,1,3,1.098612289
131,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])[H],-22.639624,344.05032,110.41576,138.19752,163.5944,185.3512,219.99472,246.0192,287.10608,1,3,1.098612289
132,[H]/C(=C(/[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-112.101912,429.94784,189.28416,232.58856,272.67128,307.18928,361.87416,402.79368,466.89256,1,81,4.394449155
133,[H]C([H])([H])C([H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],-243.161528,446.80936,220.16208,280.70456,332.25144,374.55168,439.65472,488.10544,564.6308,1,1458,7.284820913
134,[H]/C(=C(\[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-97.851208,428.10688,175.47696,223.0072,265.4748,301.54088,358.23408,400.4088,466.18128,1,243,5.493061443
135,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],-168.84532,385.51376,150.16376,184.05416,216.64752,245.3916,292.0432,327.52352,383.37992,1,18,2.890371758
136,[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-43.97384,335.59864,107.15224,133.0512,157.82048,179.78648,215.476,242.63016,285.30696,1,27,3.295836866
137,[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-265.458064,489.06776,236.98176,303.80024,362.50176,411.16168,485.7624,540.3636,625.25696,1,2187,7.690286021
138,[H]C([H])=C([H])C(C([H])=C([H])[H])(/C([H])=C(\[H])C([H])([H])[H])C([H])([H])[H],123.750168,446.642,191.75272,236.6052,275.47456,307.85872,358.02488,395.1788,453.50376,1,9,2.197224577
139,[H]C([H])=C([H])C(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])[H],46.915192,378.98672,149.61984,187.77792,220.95704,248.5296,291.03904,322.29352,371.24632,1,18,2.890371758
140,[H]C(/C([H])=C(\[H])C([H])([H])[H])=C(/[H])C([H])([H])[H],44.082624,343.2972,123.34432,155.51928,184.68176,209.03264,245.85184,272.33656,313.00504,1,18,2.890371758
141,[H]C#C[C@@]([H])(C#CC([H])([H])[H])C([H])([H])C([H])([H])[H],375.944952,419.73888,153.25992,188.15448,218.23744,243.34144,282.50368,311.54064,356.686,1,9,2.197224577
142,[H]/C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-74.173952,419.52968,159.70328,196.81536,231.66808,262.08576,310.95488,347.85776,405.68064,1,9,2.197224577
143,[H]/C(=C(\[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-49.463248,378.652,128.78352,162.7576,194.3468,221.50096,264.51248,296.56192,346.4352,1,9,2.197224577
144,[H]C#CC(C([H])=C([H])[H])(C([H])=C([H])[H])C([H])=C([H])[H],440.734192,417.85608,174.97488,213.5932,244.68032,269.70064,307.90056,336.05888,380.57664,1,3,1.098612289
145,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-259.59628,467.3528,266.26976,338.94584,402.75184,456.18152,538.69,598.9396,691.406,1,118098,11.67927007
146,[H]C#CC(=C([H])[H])C([H])=C([H])[H],349.422576,328.56952,110.6668,138.6996,160.2472,176.52296,199.53496,215.72704,241.08208,1,1,0
147,[H]C#CC(C#C[H])(C([H])=C([H])[H])C([H])([H])C([H])([H])[H],485.766584,424.29944,178.4476,217.27512,248.36224,273.29888,311.03856,338.73664,382.2084,1,3,1.098612289
148,[H]/C(=C(\[H])C([H])([H])C([H])([H])/C([H])=C(/[H])C([H])([H])[H])C([H])([H])[H],30.869552,439.86392,162.00448,203.88632,243.13224,276.85528,329.78288,368.77776,428.77632,1,18,2.890371758
149,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-196.945064,421.03592,173.05024,215.14128,253.67592,286.98056,340.28472,380.5348,443.83872,1,27,3.295836866
150,[H]C([H])=C=C(C([H])([H])[H])C([H])([H])[H],125.720832,319.61576,103.47032,126.27312,146.94208,164.8496,193.80288,215.81072,250.49608,1,18,2.890371758
151,[H]C([H])=C([H])C([H])(C([H])=C([H])[H])C([H])([H])C([H])([H])[H],57.002816,399.69752,152.42312,187.73608,219.36712,246.31208,288.73784,320.45256,370.24216,1,3,1.098612289
152,[H]C([H])=C=C([H])/C([H])=C(/[H])C([H])([H])[H],223.835632,339.99184,115.14368,145.26848,170.498,190.66488,220.66416,242.37912,276.18584,1,3,1.098612289
153,[H]C([H])=C([H])[C@]([H])(C([H])([H])[H])C([H])([H])/C([H])=C(\[H])C([H])([H])[H],24.175152,438.39952,175.26776,215.97808,252.79728,284.3028,334.13424,371.37184,429.65496,1,9,2.197224577
154,[H]C#CC(C#C[H])(C([H])=C([H])[H])C([H])=C([H])[H],624.512208,405.30408,174.22176,207.02432,232.88144,253.46672,284.88856,308.10976,345.05448,1,2,0.693147181
155,[H]/C(=C(\[H])C([H])([H])C#CC([H])([H])[H])C([H])([H])[H],209.05356,399.27912,131.62864,162.59024,191.2088,215.97808,255.55872,285.22328,331.28912,1,9,2.197224577
156,[H]C#C/C(C([H])=C([H])[H])=C(\[H])C([H])([H])[H],320.042528,364.008,131.25208,164.222,190.95776,211.79408,242.21176,264.13592,298.7376,1,3,1.098612289
157,[H]C([H])=C=C([H])C([H])=C([H])[H],251.571368,304.88808,94.68392,119.36952,139.24352,154.808,177.52712,193.67736,218.44664,1,1,0
158,[H]/C(=C(\[H])C([H])([H])[H])C([H])([H])[H],0.18828,297.81712,82.67584,103.42848,123.46984,141.25184,170.03776,191.87824,226.22888,1,18,2.890371758
159,[H]/C(=C(\[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-76.521176,392.54288,152.88336,193.46816,229.95264,261.03976,310.20176,347.0628,404.88568,1,243,5.493061443
160,[H]C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],-176.64848,381.32976,147.31864,184.76544,218.57216,247.56728,293.926,328.90424,384.0912,1,27,3.295836866
161,[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-253.671736,471.45312,243.67616,309.07208,366.43472,414.38336,488.52384,543.0832,627.8092,1,2187,7.690286021
162,[H]C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],-258.818056,481.91312,247.0652,310.74568,364.80296,410.15752,482.4152,537.35112,624.42016,1,1458,7.284820913
163,[H]C([H])=C(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-57.241304,370.57688,128.53248,163.84544,195.8112,222.96536,265.60032,297.23136,346.6444,1,18,2.890371758
164,[H]C([H])=C([H])C([H])([H])[C@]([H])(C([H])=C([H])[H])C([H])([H])[H],55.429632,403.50496,152.25576,188.0708,220.03656,247.10704,289.57464,321.16384,370.7024,1,3,1.098612289
165,[H]C([H])([H])C([H])(C([H])([H])[H])[C@]([H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-244.119664,448.56664,216.22912,273.17336,324.09264,367.31336,435.30336,486.09712,565.76048,1,2187,7.690286021
166,[H]C(=C(C#CC([H])([H])[H])C#CC([H])([H])[H])C([H])([H])[H],412.16584,444.38264,160.8748,195.05808,226.10336,252.96464,295.89248,327.90008,377.31312,1,27,3.295836866
167,[H]C([H])=C(C([H])([H])[H])C([H])([H])[H],-18.844736,293.38208,87.82216,109.11872,128.61616,145.56136,173.0084,193.9284,227.14936,1,18,2.890371758
168,[H]/C(=C(\[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],-28.154136,339.69896,105.10208,133.2604,159.49408,182.12952,218.02824,244.84768,286.68768,1,9,2.197224577
169,[H]C#CC([H])([H])C#CC([H])([H])[H],414.02772,349.23848,106.98488,128.90904,147.73704,163.63624,188.82392,207.69376,237.2328,1,3,1.098612289
170,[H]C#CC(=C([H])[H])/C([H])=C(/[H])C([H])([H])[H],332.50248,370.78608,130.87552,159.78696,184.26336,204.63944,236.396,259.91008,296.81296,1,3,1.098612289
171,[H]C#CC(=C([H])[H])/C([H])=C(\[H])C([H])([H])[H],315.64096,364.6356,133.42776,166.02112,192.71504,213.76056,244.47112,266.3116,300.202,1,3,1.098612289
172,[H]C([H])=C([H])C([H])(C#CC([H])([H])[H])C([H])=C([H])[H],317.917056,415.09464,155.68664,188.23816,217.31696,242.08624,281.1648,310.28544,355.89104,1,3,1.098612289
173,[H]C#CC([H])(C#C[H])C([H])=C([H])[H],543.338424,364.09168,125.56184,152.25576,173.09208,189.61888,214.55552,232.92328,261.75104,1,1,0
174,[H]C([H])=C([H])C#CC([H])=C([H])[H],349.891184,340.11736,103.1356,126.39864,146.48184,163.21784,189.07496,208.02848,237.40016,1,2,0.693147181
