,mol_1,target_H_298,target_S_298,target_Cp_300,target_Cp_400,target_Cp_500,target_Cp_600,target_Cp_800,target_Cp_1000,target_Cp_1500,feature_opt,feature_symm,feature_entropy
103,[CH2]C[C@@H](CCC=C)C(C)(C)C,44.45717,537.56032,256.39552,321.66592,377.606,423.79736,495.00904,547.60192,629.692,2,162,4.394449155
221,[CH2]CCCCCCCC(=C)C,43.674762,592.53808,255.4332,312.9632,366.26736,412.29136,485.46952,540.19624,625.63352,1,6,1.791759469
201,[CH2]CCCC/C=C\C(C)(C)C,43.256362,557.518,245.93552,308.40264,364.34272,411.7056,485.88792,540.86568,626.30296,1,162,5.087596335
310,C[CH]C(C)C,40.276174,362.71096,116.9428,145.6032,172.08792,194.9744,231.66808,259.53352,303.59104,1,27,3.295836866
72,[CH2]C(C)(C)C,40.196678,337.69064,122.63304,153.63648,180.37224,202.63112,237.442,263.592,305.432,1,162,5.087596335
324,C[CH]CCCCCC/C=C\C,40.04305,596.59656,245.14056,303.00528,357.98304,405.76432,481.53656,537.8532,624.83856,1,9,2.197224577
205,[CH2]CCCCC,37.893334,405.55512,145.35216,178.94968,210.16232,237.19096,280.45352,313.04688,364.4264,1,6,1.791759469
61,[CH2][C@H](CCCC=C)C(C)(C)C,36.934338,543.87816,258.9896,323.29768,378.81936,424.75968,495.63664,547.97848,629.77568,2,162,4.394449155
323,C[CH]CCCCCC/C=C/C,36.84229,617.14,251.70944,307.48216,360.70264,407.27056,481.82944,537.68584,624.50384,1,9,2.197224577
220,[CH2]CCCCCCC=C(C)C,36.57033,584.33744,250.57976,308.31896,362.45992,409.36256,483.8796,539.40128,625.508,1,18,2.890371758
85,[CH2]C(CC)CC,34.106814,394.80224,148.36464,181.92032,212.88192,239.534,282.0016,314.05104,364.76112,1,18,2.890371758
207,[CH2]CCCCC(=C)C(C)(C)C,33.07669,549.44288,251.83496,314.34392,369.78192,416.55904,489.48616,543.45976,627.43264,1,162,5.087596335
184,[CH2]CCC[C@H](C=C)C(C)(C)C,32.959538,534.75704,254.63824,322.29352,379.99088,427.1864,499.02568,551.36752,632.24424,2,162,4.394449155
48,[CH2][C@H](C)CCC,32.780486,401.49664,147.36048,181.96216,213.1748,239.86872,282.29448,314.26024,364.88664,2,18,2.197224577
426,CC[C](C)C,32.581798,365.80712,108.70032,137.2352,164.47304,188.44736,227.14936,256.39552,302.21032,1,54,3.988984047
414,C=CCCCCCC[C](C)C,31.955378,595.04848,248.5296,304.51152,358.1504,405.09488,480.23952,536.47248,623.79256,1,18,2.890371758
343,C=C(C)CCCCCC[CH]C,31.84241,595.55056,250.99816,308.1516,361.7068,408.27472,482.54072,538.14608,624.6712,1,9,2.197224577
